model_family,candidate_id,scaler,alpha,l1_ratio,mean_log_rmse,std_log_rmse,fold_scores,fit_time_seconds,rank
ElasticNet,7,robust,0.0003,0.2,0.1143058605668538,0.007861646146973393,"[np.float64(0.11482), np.float64(0.11617), np.float64(0.11771), np.float64(0.12318), np.float64(0.09965)]",3.2755510807037354,92
Ridge,29,robust,80.0,,0.11433114996903929,0.00908627478198229,"[np.float64(0.11728), np.float64(0.11048), np.float64(0.12181), np.float64(0.12352), np.float64(0.09856)]",0.1951000690460205,93
ElasticNet,92,standard,0.002,0.4,0.11458782835691901,0.007474091449641647,"[np.float64(0.11215), np.float64(0.1161), np.float64(0.11801), np.float64(0.12466), np.float64(0.10202)]",0.5019655227661133,94
ElasticNet,118,standard,0.005,0.15,0.11470279430158126,0.0075568468593393175,"[np.float64(0.11226), np.float64(0.11623), np.float64(0.11792), np.float64(0.12505), np.float64(0.10206)]",0.3759799003601074,95
ElasticNet,95,robust,0.002,0.7,0.11482693582304189,0.009250224661660452,"[np.float64(0.11523), np.float64(0.11137), np.float64(0.12631), np.float64(0.12176), np.float64(0.09947)]",0.45943355560302734,96
ElasticNet,78,standard,0.0015,0.5,0.1148531403452796,0.007472105210998413,"[np.float64(0.11256), np.float64(0.11638), np.float64(0.11814), np.float64(0.12494), np.float64(0.10225)]",0.6065683364868164,97
ElasticNet,132,standard,0.007,0.1,0.11491209330112229,0.007607498923364723,"[np.float64(0.11242), np.float64(0.11648), np.float64(0.118), np.float64(0.12542), np.float64(0.10224)]",0.38485050201416016,98
Ridge,31,robust,100.0,,0.11504637692698116,0.009102208212810476,"[np.float64(0.11845), np.float64(0.11092), np.float64(0.12246), np.float64(0.12411), np.float64(0.09928)]",0.19498229026794434,99
ElasticNet,5,robust,0.0003,0.15,0.11508650074308058,0.007992215289220955,"[np.float64(0.11594), np.float64(0.11711), np.float64(0.11805), np.float64(0.12418), np.float64(0.10015)]",3.8033571243286133,100
ElasticNet,64,standard,0.001,0.7,0.11513038550405363,0.007446659464828623,"[np.float64(0.11289), np.float64(0.11671), np.float64(0.11832), np.float64(0.12519), np.float64(0.10255)]",0.6750171184539795,101
ElasticNet,17,robust,0.0005,0.05,0.11527900611991986,0.007989839027772373,"[np.float64(0.11594), np.float64(0.11732), np.float64(0.11835), np.float64(0.12441), np.float64(0.10038)]",4.827483892440796,102
