search_type,oof_log_rmse,weights
random_dirichlet,0.1270426858011475,0.62372 | 0.01486 | 0.00556 | 0.20915 | 0.08248 | 0.06423
random_dirichlet,0.1270428855300902,0.66457 | 0.07051 | 0.03075 | 0.04754 | 0.17447 | 0.01216
random_dirichlet,0.12704382498739764,0.56790 | 0.01328 | 0.22009 | 0.09500 | 0.10185 | 0.00188
random_dirichlet,0.12704391516489427,0.53131 | 0.01758 | 0.12000 | 0.07555 | 0.24952 | 0.00603
random_dirichlet,0.1270439635427734,0.67154 | 0.04607 | 0.05253 | 0.00959 | 0.13837 | 0.08191
random_dirichlet,0.12704414094378239,0.54927 | 0.00164 | 0.08689 | 0.04235 | 0.18388 | 0.13596
random_dirichlet,0.12704515900654562,0.58996 | 0.00328 | 0.00652 | 0.04237 | 0.16662 | 0.19124
random_dirichlet,0.1270454712110664,0.61579 | 0.19666 | 0.00102 | 0.02595 | 0.15187 | 0.00872
random_dirichlet,0.12704564923236958,0.68786 | 0.03099 | 0.13971 | 0.06337 | 0.07379 | 0.00429
random_dirichlet,0.12704632701621177,0.55961 | 0.03750 | 0.05935 | 0.05324 | 0.24207 | 0.04824
random_dirichlet,0.1270469013379202,0.55041 | 0.09596 | 0.08953 | 0.01647 | 0.21892 | 0.02871
random_dirichlet,0.12704754485543235,0.61185 | 0.08089 | 0.02705 | 0.01978 | 0.13060 | 0.12983
random_dirichlet,0.12704800923867535,0.64728 | 0.17060 | 0.01856 | 0.06336 | 0.09678 | 0.00342
random_dirichlet,0.12704849177500127,0.56713 | 0.00708 | 0.01365 | 0.26181 | 0.10544 | 0.04489
random_dirichlet,0.12704855117256428,0.62871 | 0.01762 | 0.02695 | 0.07358 | 0.23100 | 0.02214
random_dirichlet,0.12704943243030445,0.62032 | 0.05832 | 0.00725 | 0.00698 | 0.14270 | 0.16443
random_dirichlet,0.12704954349432823,0.55963 | 0.11563 | 0.02921 | 0.15994 | 0.11817 | 0.01742
random_dirichlet,0.12704995320002924,0.52723 | 0.00040 | 0.02689 | 0.15004 | 0.26326 | 0.03217
random_dirichlet,0.12705015865082053,0.52696 | 0.08830 | 0.15297 | 0.00478 | 0.20731 | 0.01968
random_dirichlet,0.12705105566820593,0.69491 | 0.00229 | 0.13963 | 0.09297 | 0.06177 | 0.00843
random_dirichlet,0.12705107015915038,0.66991 | 0.06607 | 0.00100 | 0.03228 | 0.16794 | 0.06280
random_dirichlet,0.1270511678172694,0.50906 | 0.03032 | 0.21860 | 0.01501 | 0.20845 | 0.01857
random_dirichlet,0.12705117605448266,0.56779 | 0.18097 | 0.02898 | 0.02025 | 0.19406 | 0.00794
random_dirichlet,0.127051373385466,0.52879 | 0.09181 | 0.08678 | 0.05685 | 0.23064 | 0.00513
random_dirichlet,0.1270515696489577,0.69009 | 0.02956 | 0.12985 | 0.07036 | 0.06744 | 0.01270
random_dirichlet,0.12705164529118596,0.60429 | 0.09053 | 0.06294 | 0.01634 | 0.11780 | 0.10810
random_dirichlet,0.12705172462203757,0.55758 | 0.09026 | 0.07460 | 0.03429 | 0.23717 | 0.00610
random_dirichlet,0.12705186558095627,0.58963 | 0.18848 | 0.06313 | 0.03758 | 0.11435 | 0.00683
random_dirichlet,0.1270524757861277,0.53452 | 0.09160 | 0.04629 | 0.11137 | 0.15866 | 0.05756
random_dirichlet,0.1270525273107204,0.68404 | 0.04529 | 0.14722 | 0.04717 | 0.06811 | 0.00816
random_dirichlet,0.1270531236474564,0.57993 | 0.13495 | 0.02571 | 0.09468 | 0.11383 | 0.05091
