model_name,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,positive_fold_count,negative_fold_count,nonzero_fold_count,coefficient_direction
ElasticNet_RobustScaler_baseline,Functional_Ord,0.03695999831529552,0.00529535626686098,0.03695999831529552,5,0,5,positive
ElasticNet_RobustScaler_baseline,Functional__Maj1,0.027851208380731473,0.023167902399701124,0.027851208380731473,4,0,4,positive
ElasticNet_RobustScaler_baseline,Functional__Maj2,-0.005684884083777868,0.012711787255533923,0.005684884083777868,0,1,1,negative
ElasticNet_RobustScaler_baseline,Functional__Min1,-0.006703609204511603,0.0045825524769354965,0.006703609204511603,0,5,5,negative
ElasticNet_RobustScaler_baseline,Functional__Min2,0.008317753671803759,0.007845321865656707,0.008317753671803759,3,0,3,positive
ElasticNet_RobustScaler_baseline,Functional__Mod,-0.003402441820728025,0.007608091200636017,0.003402441820728025,0,1,1,negative
ElasticNet_RobustScaler_baseline,Functional__Sev,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Functional__Typ,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageAge,-0.0036878557333455226,0.005082154072272605,0.0036878557333455226,0,2,2,negative
ElasticNet_RobustScaler_baseline,GarageArea,3.7475600554014135e-05,8.379799033640439e-05,3.7475600554014135e-05,1,0,1,positive
ElasticNet_RobustScaler_baseline,GarageCars,0.035806911380189474,0.00477936948892857,0.035806911380189474,5,0,5,positive
ElasticNet_RobustScaler_baseline,GarageCond_Ord,0.0022322873922948523,0.007433850483936937,0.003864556028493148,1,2,3,positive
ElasticNet_RobustScaler_baseline,GarageCond__Ex,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageCond__Fa,-0.037379020927235,0.014022517804586097,0.037379020927235,0,5,5,negative
ElasticNet_RobustScaler_baseline,GarageCond__Gd,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageCond__NoFeature,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageCond__Po,0.008287040562367332,0.01853038602975144,0.008287040562367332,1,0,1,positive
ElasticNet_RobustScaler_baseline,GarageCond__TA,0.00023709058092498744,0.0005301506557731869,0.00023709058092498744,1,0,1,positive
ElasticNet_RobustScaler_baseline,GarageFinish_Ord,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageFinish_Ord_x_GarageArea,8.633541989974077e-05,0.00019305186776180845,8.633541989974077e-05,1,0,1,positive
ElasticNet_RobustScaler_baseline,GarageFinish__Fin,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageFinish__NoFeature,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageFinish__RFn,-9.767091169779101e-05,0.0009485386979619421,0.0005312141258427726,1,1,2,negative
ElasticNet_RobustScaler_baseline,GarageFinish__Unf,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageQual_Ord,0.028806346007013133,0.008013516230976517,0.028806346007013133,5,0,5,positive
ElasticNet_RobustScaler_baseline,GarageQual_Ord_x_GarageArea,0.005927441092396081,0.00507751972265642,0.005927441092396081,4,0,4,positive
ElasticNet_RobustScaler_baseline,GarageQual__Ex,0.015007676119027192,0.017073125311593378,0.015007676119027192,3,0,3,positive
ElasticNet_RobustScaler_baseline,GarageQual__Fa,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageQual__Gd,0.0007220474041518003,0.0016145470786606895,0.0007220474041518003,1,0,1,positive
ElasticNet_RobustScaler_baseline,GarageQual__NoFeature,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageQual__Po,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageQual__TA,-0.01214901664356086,0.008605505414397424,0.01214901664356086,0,4,4,negative
ElasticNet_RobustScaler_baseline,GarageQualityScore,0.0008942977576870736,0.001108888248101731,0.0008942977576870736,3,0,3,positive
ElasticNet_RobustScaler_baseline,GarageType__2Types,-0.012094534436507218,0.0223536932967194,0.012094534436507218,0,3,3,negative
ElasticNet_RobustScaler_baseline,GarageType__Attchd,0.00011657636449431624,0.0020511073644086824,0.001156762389279174,1,1,2,positive
ElasticNet_RobustScaler_baseline,GarageType__Basment,-0.005147197252870618,0.011408965165241607,0.005147197252870618,0,2,2,negative
ElasticNet_RobustScaler_baseline,GarageType__BuiltIn,0.008697589161270345,0.00579809354101691,0.008697589161270345,5,0,5,positive
ElasticNet_RobustScaler_baseline,GarageType__CarPort,-0.005671591187337961,0.006219794607552408,0.005671591187337961,0,4,4,negative
ElasticNet_RobustScaler_baseline,GarageType__Detchd,0.013766072410297703,0.005194598925770383,0.013766072410297703,5,0,5,positive
ElasticNet_RobustScaler_baseline,GarageType__NoFeature,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,GarageYrBlt,-0.003180823808709924,0.00101014205194431,0.003180823808709924,0,5,5,negative
ElasticNet_RobustScaler_baseline,GrLivArea,0.07228670723928202,0.02036212401821412,0.07228670723928202,5,0,5,positive
ElasticNet_RobustScaler_baseline,HalfBath,0.023436418989310658,0.0050330136139656485,0.023436418989310658,5,0,5,positive
ElasticNet_RobustScaler_baseline,Has3SsnPorch,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasAlley,0.001191625980007295,0.0026645566950511167,0.001191625980007295,1,0,1,positive
ElasticNet_RobustScaler_baseline,HasBasement,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasFence,-0.0026400522699898074,0.0029721255560672378,0.0026400522699898074,0,3,3,negative
ElasticNet_RobustScaler_baseline,HasFireplace,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasGarage,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasGarageYrBlt,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasMasVnr,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasMiscFeature,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasOpenPorch,-0.03334938314371414,0.011166153721963355,0.03334938314371414,0,5,5,negative
ElasticNet_RobustScaler_baseline,HasPool,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasScreenPorch,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HasWoodDeck,-0.008839249571460964,0.012687982892415454,0.008839249571460964,0,3,3,negative
ElasticNet_RobustScaler_baseline,HeatingQC_Ord,0.014055288193240747,0.012393858207765219,0.014055288193240747,4,0,4,positive
ElasticNet_RobustScaler_baseline,HeatingQC__Ex,0.009924527988761547,0.006350059409892967,0.009924527988761547,5,0,5,positive
ElasticNet_RobustScaler_baseline,HeatingQC__Fa,0.0005339239018759187,0.0011938901394064818,0.0005339239018759187,1,0,1,positive
ElasticNet_RobustScaler_baseline,HeatingQC__Gd,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HeatingQC__Po,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,HeatingQC__TA,-0.0041865732343461,0.005952468936851875,0.0041865732343461,0,2,2,negative
ElasticNet_RobustScaler_baseline,Heating__Floor,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Heating__GasA,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Heating__GasW,0.03334581259250974,0.02008307172061395,0.03334581259250974,5,0,5,positive
ElasticNet_RobustScaler_baseline,Heating__Grav,-0.05516080915595707,0.04570511299154054,0.05516080915595707,0,4,4,negative
ElasticNet_RobustScaler_baseline,Heating__OthW,0.0,0.0,0.0,0,0,0,zero
ElasticNet_RobustScaler_baseline,Heating__Wall,0.0,0.0,0.0,0,0,0,zero
